Equipo,J0,J1,J2,J3,J4,J5,J6,J7
Athletic Club,0.7,0.1,0.2,0.3,0.1,0.1,0.0,0.1
Atlético Madrid,3.4000000000000017,5.099999999999998,5.1999999999999975,3.5000000000000018,6.299999999999994,4.000000000000002,3.4000000000000017,2.600000000000001
Barcelona,12.99999999999997,21.30000000000004,22.200000000000045,33.3000000000002,33.0000000000002,39.30000000000029,41.30000000000032,44.20000000000036
Betis,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Girona,0.5,1.2,1.0,1.7000000000000004,1.6000000000000003,0.3,0.2,0.0
Real Madrid,81.89999999999962,72.30000000000017,71.20000000000023,61.1000000000006,59.00000000000057,56.30000000000053,55.00000000000051,53.100000000000485
Real Sociedad,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Villarreal,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.0
